Movie,Year,Rating,Date of Watching
Die Verurteilten,(1994),9.2,
Der Pate,(1972),9.2,
Der Pate 2,(1974),9.0,
The Dark Knight,(2008),8.9,
Die zwölf Geschworenen,(1957),8.9,
Schindlers Liste,(1993),8.9,
Pulp Fiction,(1994),8.9,
Der Herr der Ringe - Die Rückkehr des Königs,(2003),8.9,
Zwei glorreiche Halunken,(1966),8.8,
Fight Club,(1999),8.8,2017-03-01
Der Herr der Ringe - Die Gefährten,(2001),8.8,
Das Imperium schlägt zurück,(1980),8.7,2017-03-01
Forrest Gump,(1994),8.7,
Inception,(2010),8.7,
Der Herr der Ringe - Die zwei Türme,(2002),8.7,
Einer flog über das Kuckucksnest,(1975),8.7,
GoodFellas - Drei Jahrzehnte in der Mafia,(1990),8.7,
Matrix,(1999),8.7,
Die sieben Samurai,(1954),8.6,
Krieg der Sterne,(1977),8.6,2017-03-01
City of God,(2002),8.6,
Sieben,(1995),8.6,
Das Schweigen der Lämmer,(1991),8.6,
Ist das Leben nicht schön?,(1946),8.6,2017-03-01
Die üblichen Verdächtigen,(1995),8.6,
Das Leben ist schön,(1997),8.6,
Léon - Der Profi,(1994),8.5,
Chihiros Reise ins Zauberland,(2001),8.5,
Der Soldat James Ryan,(1998),8.5,
Spiel mir das Lied vom Tod,(1968),8.5,2017-03-01
American History X,(1998),8.5,
Interstellar,(2014),8.5,
Casablanca,(1942),8.5,
Lichter der Großstadt,(1931),8.5,
Psycho,(1960),8.5,
The Green Mile,(1999),8.5,
Ziemlich beste Freunde,(2011),8.5,
Moderne Zeiten,(1936),8.5,
Jäger des verlorenen Schatzes,(1981),8.5,
Das Fenster zum Hof,(1954),8.5,
Der Pianist,(2002),8.5,
Departed - Unter Feinden,(2006),8.5,
Terminator 2 - Tag der Abrechnung,(1991),8.5,
Zurück in die Zukunft,(1985),8.5,
Whiplash,(2014),8.5,
Gladiator,(2000),8.5,
Memento,(2000),8.5,2017-03-01
Apocalypse Now,(1979),8.5,
Prestige - Die Meister der Magie,(2006),8.5,
Der König der Löwen,(1994),8.5,
Alien - Das unheimliche Wesen aus einer fremden Welt,(1979),8.4,
"Dr. Seltsam oder: Wie ich lernte, die Bombe zu lieben",(1964),8.4,
Boulevard der Dämmerung,(1950),8.4,
Der große Diktator,(1940),8.4,
Cinema Paradiso,(1988),8.4,
Das Leben der Anderen,(2006),8.4,
Die letzten Glühwürmchen,(1988),8.4,
Wege zum Ruhm,(1957),8.4,
Django Unchained,(2012),8.4,
Shining,(1980),8.4,2017-03-01
La La Land,(2016),8.4,
WALL·E - Der Letzte räumt die Erde auf,(2008),8.4,2017-03-01
American Beauty,(1999),8.4,
The Dark Knight Rises,(2012),8.4,
Prinzessin Mononoke,(1997),8.4,
Aliens - Die Rückkehr,(1986),8.4,
Oldboy,(2003),8.4,
Es war einmal in Amerika,(1984),8.4,
Citizen Kane,(1941),8.3,
Zeugin der Anklage,(1957),8.3,
Das Boot,(1981),8.3,
Der unsichtbare Dritte,(1959),8.3,
Vertigo - Aus dem Reich der Toten,(1958),8.3,
Die Rückkehr der Jedi-Ritter,(1983),8.3,
Reservoir Dogs - Wilde Hunde,(1992),8.3,
M - Eine Stadt sucht einen Mörder,(1931),8.3,
Braveheart,(1995),8.3,
Requiem for a Dream,(2000),8.3,
Die fabelhafte Welt der Amelie,(2001),8.3,
Uhrwerk Orange,(1971),8.3,
Taare Zameen Par - Ein Stern auf Erden,(2007),8.3,
Taxi Driver,(1976),8.3,
Lawrence von Arabien,(1962),8.3,2017-03-01
Frau ohne Gewissen,(1944),8.3,
Vergiss mein nicht,(2004),8.3,
Wer die Nachtigall stört,(1962),8.3,
Amadeus,(1984),8.3,
Toy Story 3,(2010),8.3,
Dangal,(2016),8.3,2017-03-01
Full Metal Jacket,(1987),8.3,
Der Clou,(1973),8.3,
2001: Odyssee im Weltraum,(1968),8.3,
Du sollst mein Glücksstern sein,(1952),8.3,
Mein Vater und mein Sohn,(2005),8.3,
Toy Story,(1995),8.3,
Fahrraddiebe,(1948),8.3,
Der Vagabund und das Kind,(1921),8.3,
Inglourious Basterds,(2009),8.3,2017-03-01
Snatch - Schweine und Diamanten,(2000),8.3,
Die Ritter der Kokosnuß,(1975),8.3,2017-03-01
3 Idiots,(2009),8.3,
L.A. Confidential,(1997),8.3,
Für ein paar Dollar mehr,(1965),8.3,
Scarface,(1983),8.3,2017-03-01
Die Jagd,(2012),8.2,
Rashomon,(1950),8.2,2017-03-01
Das Appartement,(1960),8.2,2017-03-01
Good Will Hunting - Der gute Will Hunting,(1997),8.2,
Nader und Simin - eine Trennung,(2011),8.2,
Indiana Jones und der letzte Kreuzzug,(1989),8.2,
Metropolis,(1927),8.2,
Alles über Eva,(1950),8.2,
Yojimbo - Der Leibwächter,(1961),8.2,
Batman Begins,(2005),8.2,
Oben,(2009),8.2,
Manche mögen's heiß,(1959),8.2,
Der Schatz der Sierra Madre,(1948),8.2,
Erbarmungslos,(1992),8.2,
Der Untergang,(2004),8.2,
Wie ein wilder Stier,(1980),8.2,
Der dritte Mann,(1949),8.2,
Stirb langsam,(1988),8.2,2017-03-01
Kinder des Himmels,(1997),8.2,
Heat,(1995),8.2,2017-03-01
Gesprengte Ketten,(1963),8.2,
Chinatown,(1974),8.2,2017-03-01
Pans Labyrinth,(2006),8.2,
Alles steht Kopf,(2015),8.2,2017-03-01
Ikiru - Einmal wirklich leben,(1952),8.2,
Mein Nachbar Totoro,(1988),8.2,
Ran,(1985),8.2,
Die Faust im Nacken,(1954),8.2,
Raum,(2015),8.2,2017-03-01
Goldrausch,(1925),8.2,
In ihren Augen,(2009),8.2,
Die Brücke am Kwai,(1957),8.2,
Der Blade Runner,(1982),8.2,
Mr. Smith geht nach Washington,(1939),8.2,
Das wandelnde Schloss,(2004),8.2,
Das siebente Siegel,(1957),8.2,
Bube Dame König grAS,(1998),8.2,
Hacksaw Ridge - Die Entscheidung,(2016),8.2,2017-03-01
Das Urteil von Nürnberg,(1961),8.2,
Casino,(1995),8.2,
Die Frau die singt - Incendies,(2010),8.2,
A Beautiful Mind - Genie und Wahnsinn,(2001),8.2,
Der Elefantenmensch,(1980),8.1,
Wilde Erdbeeren,(1957),8.1,
Eskiya - Der Bandit,(1996),8.1,
Der General,(1926),8.1,
V wie Vendetta,(2005),8.1,
Warrior,(2011),8.1,2017-03-01
The Wolf of Wall Street,(2013),8.1,
A Wednesday,(2008),8.1,
Sonnenaufgang,(1927),8.1,
Gran Torino,(2008),8.1,
Trainspotting - Neue Helden,(1996),8.1,
Johanna von Orléans,(1928),8.1,
Rang De Basanti - Die Farbe Safran,(2006),8.1,
Bei Anruf Mord,(1954),8.1,2017-03-01
The Big Lebowski,(1998),8.1,
Die durch die Hölle gehen,(1978),8.1,
Vom Winde verweht,(1939),8.1,
Fargo - Blutiger Schnee,(1996),8.1,
Die Reise nach Tokio,(1953),8.1,
Findet Nemo,(2003),8.1,
Sixth Sense,(1999),8.1,
Das Ding aus einer anderen Welt,(1982),8.1,
No Country for Old Men,(2007),8.1,
Der Unbeugsame,(1967),8.1,
Rebecca,(1940),8.1,
Drachenzähmen leicht gemacht,(2010),8.1,
